type_acci;date;heure;commune;luminosite_accident;cond_atmos;Intersection;categorie_route;type_collision;type_vehicule_1;manoeuvre_vehicule_1;type_vehicule_2;age_usager;sexe_usager;gravite_usager;etat_usager;nombre_usagers;nb_veh;nombre_pietons;nombre_motos;nombre_vl;nombre_pl;age_usa1_categ;accident_pieton;accident_moto;categorie_vl;accident_pl;categorie_age;categorie_usagers
Leger;19/02/2010;16:45;Rueil-Malmaison;Plein jour;Autre;Hors intersection;Autoroute;Collisions en chaine;VL seul;Meme sens, Meme file;VL seul;47;Feminin;Blessee Leger;Non renseignee ;3;3;0;0;3;0;Adulte (35-49);Sans pieton;Sans moto;3 VL ou plus;Sans poids lourd;Adulte (35-49);3-5 usagers
Leger;24/02/2010;10:00;Courbevoie;Plein jour;Autre;Intersection en T;Route departementale;Collision par le cote;Motocyclette > 50 cm3 et <= 125 cm3;Sans changement de direction;Motocyclette > 50 cm3 et <= 125 cm3;31;Masculin;Indemne;Non renseignee ;2;2;0;2;0;0;Adulte jeune (25-34);Sans pieton;Avec moto;Aucun VL;Sans poids lourd;Adulte jeune (25-34);2 usagers
Leger;27/02/2010;12:20;Meudon;Plein jour;Autre;Hors intersection;Voie commuNon renseignee le;Collision par le cote;VL seul;TourNon renseignee nt A'auche;Scooter > 50 cm3 et <= 125 cm3;23;Masculin;Blessee Leger;Non renseignee ;2;2;0;1;1;0;Jeune adulte (18-24);Sans pieton ;Avec moto;1 VL;Sans poids lourd;Jeune adulte (18-24);2 usagers
Grave;23/06/2009;13:00;Issy-les-Moulineaux;Plein jour;Autre;Intersection en T;Route departementale;Collision par l'arriere;Motocyclette > 125 cm3;Meme sens, Meme file;VL seul;26;Masculin;Indemne;Non renseignee ;3;2;0;1;1;0;Adulte jeune (25-34);Sans pieton;Avec moto;1 VL;Sans poids lourd;Adulte jeune (25-34);3-5 usagers
Leger;11/02/2009;19:15;Montrouge;Nuit avec eclairage public allumee;Autre;Intersection en T;Voie commuNon renseignee le;Collision par le cote;VL seul;Manoeuvre de stationnement;Motocyclette > 125 cm3;23;Masculin;Indemne;Non renseignee ;2;2;0;1;1;0;Jeune adulte (18-24);Sans pieton;Avec moto;1 VL;Sans poids lourd;Jeune adulte (18-24);2 usagers
Leger;24/04/2009;17:00;Meudon;Plein jour;Autre;Hors intersection;Route Non renseignee tioNon renseignee le;Collisions multiples;Motocyclette > 50 cm3 et <= 125 cm3;Entre 2 files;VL seul;24;Feminin;Blessee Leger;Non renseignee ;3;3;0;1;1;0;Jeune adulte (18-24);Sans pieton;Avec moto;1 VL;Sans poids lourd;Jeune adulte (18-24);3-5 usagers
Leger;09/10/2009;10:15;Non renseignee nterre;Plein jour;Autre;Hors intersection;Autoroute;Collisions multiples;Motocyclette > 125 cm3;Entre 2 files;VL seul;31;Feminin;Indemne;Non renseignee ;3;3;0;1;2;0;Adulte jeune (25-34);Sans pieton;Avec moto;2 VL;Sans poids lourd;Adulte jeune (25-34);3-5 usagers
Grave;27/09/2009;02:50;Ville d'Avray;Nuit avec eclairage public allumee;Autre;Hors intersection;Route departementale;Sans collision;Motocyclette > 50 cm3 et <= 125 cm3;Sans changement de direction;Non renseignee ;19;Masculin;Blessee hospitalisee;Ivresse apparente;1;1;0;1;0;0;Jeune adulte (18-24);Sans pieton;Avec moto;Aucun VL;Sans poids lourd;Jeune adulte (18-24);1 usager
Leger;08/08/2009;08:40;Asnieres-sur-Seine;Plein jour;Autre;Intersection en X;Route departementale;Collision par le cote;Scooter < 50 cm3;Sans changement de direction;VL seul;46;Masculin;Blessee Leger;Non renseignee ;2;2;0;0;1;0;Adulte (35-49);Sans pieton;Sans moto;1 VL;Sans poids lourd;Adulte (35-49);2 usagers
Leger;08/12/2009;16:45;Asnieres-sur-Seine;Plein jour;Autre;Hors intersection;Route departementale;Sans collision;VL seul;Se deportant A$roite;Non renseignee ;35;Feminin;Blessee Leger;Non renseignee ;1;1;0;0;1;0;Adulte (35-49);Sans pieton ;Sans moto;1 VL;Sans poids lourd;Adulte (35-49);1 usager
Leger;10/04/2009;20:05;La Garenne-Colombes;Plein jour;Autre;Giratoire;Route departementale;Collision par le cote;VL seul;Sans changement de direction;Scooter < 50 cm3;20;Feminin;Blessee Leger;Non renseignee ;2;2;0;0;1;0;Jeune adulte (18-24);Sans pieton;Sans moto;1 VL;Sans poids lourd;Jeune adulte (18-24);2 usagers
Grave;28/09/2009;10:00;Issy-les-Moulineaux;Plein jour;Autre;Giratoire;Route departementale;Sans collision;Motocyclette > 125 cm3;Sans changement de direction;Non renseignee ;34;Masculin;Blessee hospitalisee;Non renseignee ;1;1;0;1;0;0;Adulte jeune (25-34);Sans pieton;Avec moto;Aucun VL;Sans poids lourd;Adulte jeune (25-34);1 usager
Leger;09/03/2009;11:50;Neuilly-sur-Seine;Plein jour;Autre;Intersection en X;Route departementale;Collision par l'arriere;VL seul;Meme sens, Meme file;VL seul;61;Masculin;Indemne;Non renseignee ;2;2;0;0;2;0;Senior actif (50-64);Sans pieton;Sans moto;2 VL;Sans poids lourd;Senior actif (50-64);2 usagers
Leger;08/10/2009;00:15;Puteaux;Nuit sanseclairage public;Autre;Hors intersection;Route Non renseignee tioNon renseignee le;Sans collision;VL seul;Se deportant A$roite;Non renseignee ;37;Masculin;Blessee Leger;Non renseignee ;1;1;0;0;1;0;Adulte (35-49);Sans pieton ;Sans moto;1 VL;Sans poids lourd;Adulte (35-49);1 usager
Leger;20/01/2009;15:55;Non renseignee nterre;Plein jour;Autre;Hors intersection;Autoroute;Collision par l'arriere;VL seul;Sans changement de direction;VU seul 1,5T <= PTAC <= 3,5T;53;Masculin;Blessee Leger;Non renseignee ;2;2;0;0;2;0;Senior actif (50-64);Sans pieton;Sans moto;2 VL;Sans poids lourd;Senior actif (50-64);2 usagers
Leger;01/01/2009;19:30;Issy-les-Moulineaux;Nuit avec eclairage public allumee;Autre;Place;Route departementale;Sans collision;Scooter < 50 cm3;Sans changement de direction;Non renseignee ;28;Masculin;Blessee Leger;Non renseignee ;1;1;0;0;0;0;Adulte jeune (25-34);Sans pieton;Sans moto;Aucun VL;Sans poids lourd;Adulte jeune (25-34);1 usager
Leger;13/01/2009;18:30;Chatillon;Nuit avec eclairage public allumee;Autre;Hors intersection;Route departementale;Collision par le cote;VL seul;En faisant demi-tour sur la chaussee;Scooter > 50 cm3 et <= 125 cm3;51;Feminin;Indemne;Non renseignee ;2;2;0;1;1;0;Senior actif (50-64);Sans pieton;Avec moto;1 VL;Sans poids lourd;Senior actif (50-64);2 usagers
Leger;28/04/2010;18:00;Courbevoie;Plein jour;Autre;Intersection en T;Route departementale;Collisions en chaine;VU seul 1,5T <= PTAC <= 3,5T;Meme sens, Meme file;VL seul;28;Masculin;Indemne;Non renseignee ;7;3;0;0;3;0;Adulte jeune (25-34);Sans pieton;Sans moto;3 VL ou plus;Sans poids lourd;Adulte jeune (25-34);Plus de 5 usagers
Leger;06/10/2009;11:55;Chatillon;Plein jour;Autre;Hors intersection;Route departementale;Collision par le cote;Bicyclette;Traversant la  chaussee;Motocyclette > 125 cm3;25;Feminin;Blessee Leger;Non renseignee ;2;2;0;1;0;0;Adulte jeune (25-34);Sans pieton;Avec moto;Aucun VL;Sans poids lourd;Adulte jeune (25-34);2 usagers
Grave;01/05/2010;14:15;Non renseignee nterre;Plein jour;Autre;Hors intersection;Route departementale;Autre collision;VL seul;En marche arriere;Non renseignee ;42;Masculin;Indemne;Non renseignee ;2;1;1;0;1;0;Adulte (35-49);Avec pieton;Sans moto;1 VL;Sans poids lourd;Adulte (35-49);2 usagers
Leger;19/06/2009;11:10;Vanves;Plein jour;Autre;Hors intersection;Voie commuNon renseignee le;Collision par le cote;VL seul;TourNon renseignee nt A'auche;Scooter > 125 cm3;45;Masculin;Blessee Leger;Non renseignee ;2;2;0;1;1;0;Adulte (35-49);Sans pieton ;Avec moto;1 VL;Sans poids lourd;Adulte (35-49);2 usagers
Leger;02/01/2009;16:55;Meudon;Plein jour;Temps couvert;Hors intersection;Route Non renseignee tioNon renseignee le;Collision par l'arriere;VL seul;S inserant;Scooter > 50 cm3 et <= 125 cm3;50;Masculin;Blessee Leger;Non renseignee ;2;2;0;1;1;0;Senior actif (50-64);Sans pieton;Avec moto;1 VL;Sans poids lourd;Senior actif (50-64);2 usagers
Leger;19/01/2009;15:45;Bourg-la-Reine;Plein jour;Pluie forte;Intersection en X;Route departementale;Autre collision;VU seul 1,5T <= PTAC <= 3,5T;TourNon renseignee nt A'auche;Non renseignee ;79;Masculin;Indemne;Non renseignee ;3;1;1;0;1;0;Senior (65+);Avec pieton;Sans moto;1 VL;Sans poids lourd;Senior (65+);3-5 usagers
Leger;03/05/2010;23:45;Montrouge;Nuit avec eclairage public allumee;Autre;Intersection en X;Route departementale;Collision par le cote;VL seul;Sans changement de direction;VL seul;36;Feminin;Blessee Leger;Non renseignee ;3;2;0;0;2;0;Adulte (35-49);Sans pieton;Sans moto;2 VL;Sans poids lourd;Adulte (35-49);3-5 usagers
Leger;05/05/2010;08:25;Bagneux;Plein jour;Autre;Intersection en T;Route departementale;Autre collision;VL seul;Sans changement de direction;Non renseignee ;46;Feminin;Indemne;Non renseignee ;2;1;1;0;1;0;Adulte (35-49);Avec pieton;Sans moto;1 VL;Sans poids lourd;Adulte (35-49);2 usagers
Leger;06/05/2010;19:45;Bagneux;Plein jour;Autre;Hors intersection;Route departementale;Collision par le cote;VL seul;S inserant;Cyclomoteur <50cm3;59;Masculin;Indemne;Non renseignee ;2;2;0;0;1;0;Senior actif (50-64);Sans pieton;Sans moto;1 VL;Sans poids lourd;Senior actif (50-64);2 usagers
Grave;03/06/2010;23:40;Antony;Nuit avec eclairage public allumee;Autre;Hors intersection;Route departementale;Collision par le cote;VL seul;En faisant demi-tour sur la chaussee;Motocyclette > 125 cm3;21;Feminin;Indemne;Non renseignee ;4;2;0;1;1;0;Jeune adulte (18-24);Sans pieton;Avec moto;1 VL;Sans poids lourd;Jeune adulte (18-24);3-5 usagers
Leger;07/06/2010;14:10;La Garenne-Colombes;Plein jour;Autre;Intersection en Y;Route departementale;Collision par le cote;Scooter > 50 cm3 et <= 125 cm3;Non renseignee ;VL seul;54;Masculin;Indemne;Non renseignee ;2;2;0;1;1;0;Senior actif (50-64);Sans pieton;Avec moto;1 VL;Sans poids lourd;Senior actif (50-64);2 usagers
Leger;09/06/2010;21:25;Boulogne-Billancourt;Crepuscule ou aube;Autre;Intersection en X;Route departementale;Collision par le cote;VL seul;Sans changement de direction;VL seul;22;Masculin;Indemne;Non renseignee ;3;2;0;0;2;0;Jeune adulte (18-24);Sans pieton;Sans moto;2 VL;Sans poids lourd;Jeune adulte (18-24);3-5 usagers
Leger;12/02/2010;12:35;Boulogne-Billancourt;Plein jour;Autre;Intersection en T;Voie commuNon renseignee le;Collision par le cote;Scooter > 50 cm3 et <= 125 cm3;Non renseignee ;VL seul;33;Masculin;Indemne;Non renseignee ;2;2;0;1;1;0;Adulte jeune (25-34);Sans pieton;Avec moto;1 VL;Sans poids lourd;Adulte jeune (25-34);2 usagers
Grave;16/02/2010;08:00;Gennevilliers;Plein jour;Autre;Hors intersection;Autoroute;Collision par le cote;Motocyclette > 125 cm3;Non renseignee ;VU seul 1,5T <= PTAC <= 3,5T;37;Masculin;Blessee hospitalisee;Non renseignee ;2;2;0;1;1;0;Adulte (35-49);Sans pieton;Avec moto;1 VL;Sans poids lourd;Adulte (35-49);2 usagers
Leger;23/02/2010;10:10;Issy-les-Moulineaux;Plein jour;Pluie legere;Intersection en X;Route departementale;Autre collision;VL seul;Sans changement de direction;Non renseignee ;44;Masculin;Indemne;Non renseignee ;2;1;1;0;1;0;Adulte (35-49);Avec pieton;Sans moto;1 VL;Sans poids lourd;Adulte (35-49);2 usagers
Grave;23/02/2010;19:25;Courbevoie;Nuit avec eclairage public allumee;Autre;Intersection en T;Route departementale;Collision par le cote;VL seul;TourNon renseignee nt A'auche;Motocyclette > 50 cm3 et <= 125 cm3;57;Masculin;Indemne;Non renseignee ;2;2;0;1;1;0;Senior actif (50-64);Sans pieton ;Avec moto;1 VL;Sans poids lourd;Senior actif (50-64);2 usagers
Leger;26/02/2010;18:00;Colombes;Plein jour;Autre;Intersection en T;Route departementale;Collisions en chaine;VL seul;Sans changement de direction;VL seul;18;Masculin;Indemne;Non renseignee ;5;4;0;0;4;0;Jeune adulte (18-24);Sans pieton;Sans moto;3 VL ou plus;Sans poids lourd;Jeune adulte (18-24);3-5 usagers
Leger;03/03/2010;09:45;La Garenne-Colombes;Plein jour;Autre;Intersection A0lus de 4 branches;Route departementale;Collision par le cote;VU seul 1,5T <= PTAC <= 3,5T;TourNon renseignee nt A'auche;Motocyclette > 125 cm3;40;Masculin;Blessee Leger;Non renseignee ;2;2;0;1;1;0;Adulte (35-49);Sans pieton ;Avec moto;1 VL;Sans poids lourd;Adulte (35-49);2 usagers
Leger;06/03/2010;21:55;Suresnes;Nuit avec eclairage public allumee;Autre;Intersection en X;Route departementale;Sans collision;VL seul;Se deportant A$roite;Non renseignee ;20;Masculin;Blessee Leger;Non renseignee ;2;1;0;0;1;0;Jeune adulte (18-24);Sans pieton ;Sans moto;1 VL;Sans poids lourd;Jeune adulte (18-24);2 usagers
Leger;13/06/2010;01:15;Meudon;Nuit avec eclairage public allumee;Autre;Intersection en X;Voie commuNon renseignee le;Sans collision;Cyclomoteur <50cm3;Sans changement de direction;Non renseignee ;17;Masculin;Blessee Leger;Médicament / drogue;1;1;0;0;0;0;Mineur (-18 ans);Sans pieton;Sans moto;Aucun VL;Sans poids lourd;Mineur (-18 ans);1 usager
Grave;10/03/2010;09:40;Courbevoie;Plein jour;Autre;Intersection en T;Route departementale;Autre collision;VL seul;Sans changement de direction;Non renseignee ;31;Feminin;Indemne;Non renseignee ;3;1;2;0;1;0;Adulte jeune (25-34);Avec pieton;Sans moto;1 VL;Sans poids lourd;Adulte jeune (25-34);3-5 usagers
Leger;16/03/2010;19:00;Cachan;Crepuscule ou aube;Autre;Intersection en X;Route departementale;Collision par le cote;VL seul;Sans changement de direction;VL seul;60;Feminin;Blessee Leger;Non renseignee ;2;2;0;0;2;0;Senior actif (50-64);Sans pieton;Sans moto;2 VL;Sans poids lourd;Senior actif (50-64);2 usagers
Leger;17/03/2010;10:55;Vaucresson;Plein jour;Autre;Hors intersection;Autoroute;Sans collision;Scooter > 50 cm3 et <= 125 cm3;Sans changement de direction;Non renseignee ;28;Feminin;Blessee Leger;Non renseignee ;1;1;0;1;0;0;Adulte jeune (25-34);Sans pieton;Avec moto;Aucun VL;Sans poids lourd;Adulte jeune (25-34);1 usager
Grave;19/03/2010;17:10;Suresnes;Plein jour;Autre;Intersection en X;Route departementale;Collision par le cote;VL seul;TourNon renseignee nt A'auche;Motocyclette > 125 cm3;39;Masculin;Indemne;Ivresse apparente;2;2;0;1;1;0;Adulte (35-49);Sans pieton ;Avec moto;1 VL;Sans poids lourd;Adulte (35-49);2 usagers
Grave;22/03/2010;13:20;Antony;Plein jour;Autre;Intersection en T;Route departementale;Autre collision;VU seul 1,5T <= PTAC <= 3,5T;Sans changement de direction;Non renseignee ;77;Masculin;Indemne;Non renseignee ;2;1;1;0;1;0;Senior (65+);Avec pieton;Sans moto;1 VL;Sans poids lourd;Senior (65+);2 usagers
Leger;26/03/2010;15:00;Bois-Colombes;Plein jour;Autre;Intersection en X;Route departementale;Collision par le cote;VL seul;TourNon renseignee nt A'auche;Motocyclette > 125 cm3;34;Masculin;Blessee Leger;Non renseignee ;2;2;0;1;1;0;Adulte jeune (25-34);Sans pieton ;Avec moto;1 VL;Sans poids lourd;Adulte jeune (25-34);2 usagers
Leger;01/04/2010;17:15;Gennevilliers;Plein jour;Autre;Hors intersection;Autoroute;Collisions multiples;Scooter > 50 cm3 et <= 125 cm3;Entre 2 files;Motocyclette > 125 cm3;33;Masculin;Indemne;Non renseignee ;3;3;0;2;1;0;Adulte jeune (25-34);Sans pieton;Avec moto;1 VL;Sans poids lourd;Adulte jeune (25-34);3-5 usagers
Leger;02/04/2010;19:30;Clamart;Nuit avec eclairage public allumee;Autre;Hors intersection;Voie commuNon renseignee le;Collision par l'arriere;Cyclomoteur <50cm3;Sans changement de direction;VL seul;47;Feminin;Indemne;Non renseignee ;2;2;0;0;1;0;Adulte (35-49);Sans pieton;Sans moto;1 VL;Sans poids lourd;Adulte (35-49);2 usagers
Leger;06/04/2010;10:30;Puteaux;Plein jour;Autre;Hors intersection;Route Non renseignee tioNon renseignee le;Collision par le cote;VL seul;Changeant de file A$roite;Scooter > 125 cm3;41;Masculin;Indemne;Non renseignee ;2;2;0;1;1;0;Adulte (35-49);Sans pieton;Avec moto;1 VL;Sans poids lourd;Adulte (35-49);2 usagers
Leger;11/04/2010;00:05;Courbevoie;Nuit avec eclairage public allumee;Autre;Intersection en X;Route departementale;Sans collision;Motocyclette > 125 cm3;Sans changement de direction;Non renseignee ;20;Masculin;Blessee Leger;Non renseignee ;1;1;0;1;0;0;Jeune adulte (18-24);Sans pieton;Avec moto;Aucun VL;Sans poids lourd;Jeune adulte (18-24);1 usager
Grave;12/04/2010;08:45;Clichy;Plein jour;Autre;Hors intersection;Route departementale;Collisions multiples;PL seul 3,5T <PTCA <= 7,5T;TourNon renseignee nt A$roite;Motocyclette > 125 cm3;27;Masculin;Indemne;Non renseignee ;3;3;0;1;0;2;Adulte jeune (25-34);Sans pieton ;Avec moto;Aucun VL;Avec poids lourd;Adulte jeune (25-34);3-5 usagers
Leger;14/04/2010;16:20;Arcueil;Plein jour;Autre;Intersection à plus de 4 branches;Route departementale;Collision par le cote;VL seul;Sans changement de direction;Bicyclette;86;Masculin;Indemne;Non renseignee ;2;2;0;0;1;0;Senior (65+);Sans pieton;Sans moto;1 VL;Sans poids lourd;Senior (65+);2 usagers
Leger;21/04/2010;17:14;Non renseignee nterre;Plein jour;Autre;Hors intersection;Autoroute;Collisions en chaine;VL seul;Meme sens, Meme file;VL seul;68;Feminin;Indemne;Non renseignee ;5;3;0;0;3;0;Senior (65+);Sans pieton;Sans moto;3 VL ou plus;Sans poids lourd;Senior (65+);3-5 usagers
Leger;30/06/2010;15:55;Colombes;Plein jour;Autre;Hors intersection;Autoroute;Collisions en chaine;VL seul;Meme sens, Meme file;VL seul;77;Masculin;Blessee Leger;Non renseignee ;4;4;0;0;4;0;Senior (65+);Sans pieton;Sans moto;3 VL ou plus;Sans poids lourd;Senior (65+);3-5 usagers
Leger;07/07/2010;13:25;Colombes;Plein jour;Autre;Hors intersection;Route departementale;Collision par le cote;Scooter < 50 cm3;Sedeportant A'auche;VL seul;39;Masculin;Indemne;Non renseignee ;2;2;0;0;1;0;Adulte (35-49);Sans pieton ;Sans moto;1 VL;Sans poids lourd;Adulte (35-49);2 usagers
Grave;07/07/2010;17:30;Non renseignee nterre;Plein jour;Autre;Hors intersection;Autoroute;Collision par le cote;VL seul;Changeant de file A$roite;Motocyclette > 125 cm3;41;Masculin;Blessee hospitalisee;Non renseignee ;2;2;0;1;1;0;Adulte (35-49);Sans pieton;Avec moto;1 VL;Sans poids lourd;Adulte (35-49);2 usagers
Grave;08/07/2010;12:45;Clichy;Plein jour;Autre;Intersection en X;Voie commuNon renseignee le;Autre collision;VU seul 1,5T <= PTAC <= 3,5T;Sans changement de direction;Non renseignee ;53;Masculin;Indemne;Non renseignee ;2;1;1;0;1;0;Senior actif (50-64);Avec pieton;Sans moto;1 VL;Sans poids lourd;Senior actif (50-64);2 usagers
Leger;15/07/2010;09:00;Courbevoie;Plein jour;Autre;Intersection en X;Route departementale;Sans collision;Scooter < 50 cm3;Sans changement de direction;Non renseignee ;22;Feminin;Blessee Leger;Non renseignee ;1;1;0;0;0;0;Jeune adulte (18-24);Sans pieton;Sans moto;Aucun VL;Sans poids lourd;Jeune adulte (18-24);1 usager
Grave;16/07/2010;09:10;Gennevilliers;Plein jour;Pluie legere;Hors intersection;Autoroute;Collision par le cote;Motocyclette > 125 cm3;Non renseignee ;VL seul;51;Masculin;Indemne;Non renseignee ;2;2;0;1;1;0;Senior actif (50-64);Sans pieton;Avec moto;1 VL;Sans poids lourd;Senior actif (50-64);2 usagers
Leger;23/04/2010;23:50;Non renseignee nterre;Nuit avec eclairage public allumee;Autre;Hors intersection;Autoroute;Collision par le cote;VL seul;Changeant de file A$roite;VL seul;20;Masculin;Indemne;Non renseignee ;3;2;0;0;2;0;Jeune adulte (18-24);Sans pieton;Sans moto;2 VL;Sans poids lourd;Jeune adulte (18-24);3-5 usagers
Leger;09/05/2010;10:25;Boulogne-Billancourt;Plein jour;Autre;Intersection en X;Voie commuNon renseignee le;Collision par le cote;VL seul;TourNon renseignee nt A'auche;VL seul;46;Masculin;Indemne;Non renseignee ;2;2;0;0;2;0;Adulte (35-49);Sans pieton ;Sans moto;2 VL;Sans poids lourd;Adulte (35-49);2 usagers
Grave;11/05/2010;21:10;Courbevoie;Plein jour;Pluie legere;Hors intersection;Route departementale;Sans collision;Motocyclette > 50 cm3 et <= 125 cm3;Sans changement de direction;Non renseignee ;36;Masculin;Indemne;Non renseignee ;2;1;0;1;0;0;Adulte (35-49);Sans pieton;Avec moto;Aucun VL;Sans poids lourd;Adulte (35-49);2 usagers
Grave;16/05/2010;01:15;Neuilly-sur-Seine;Nuit avec eclairage public allumee;Autre;Intersection en T;Route Non renseignee tioNon renseignee le;Autre collision;VL seul;Sans changement de direction;Non renseignee ;42;Masculin;Indemne;Ivresse apparente;2;1;1;0;1;0;Adulte (35-49);Avec pieton;Sans moto;1 VL;Sans poids lourd;Adulte (35-49);2 usagers
Leger;22/05/2010;12:50;ChateNon renseignee y-Malabry;Plein jour;Autre;Hors intersection;Voie commuNon renseignee le;Autre collision;Bicyclette;Sans changement de direction;Non renseignee ;42;Masculin;Blessee Leger;Non renseignee ;2;1;1;0;0;0;Adulte (35-49);Avec pieton;Sans moto;Aucun VL;Sans poids lourd;Adulte (35-49);2 usagers
Leger;22/05/2010;14:10;Gennevilliers;Plein jour;Autre;Intersection en T;Route departementale;Collision par le cote;Scooter > 125 cm3;Sans changement de direction;PL seul > 7,5T;35;Masculin;Blessee Leger;Non renseignee ;3;2;0;1;0;1;Adulte (35-49);Sans pieton;Avec moto;Aucun VL;Avec poids lourd;Adulte (35-49);3-5 usagers
Leger;22/05/2010;18:35;Puteaux;Plein jour;Autre;Intersection en T;Route departementale;Autre collision;VL seul;Sans changement de direction;Non renseignee ;29;Masculin;Indemne;Non renseignee ;2;1;1;0;1;0;Adulte jeune (25-34);Avec pieton;Sans moto;1 VL;Sans poids lourd;Adulte jeune (25-34);2 usagers
Leger;24/05/2010;19:05;Clamart;Plein jour;Autre;Intersection en X;Voie commuNon renseignee le;Collision par l'arriere;Bicyclette;Meme sens, Meme file;VL seul;47;Masculin;Indemne;Non renseignee ;2;2;0;0;1;0;Adulte (35-49);Sans pieton;Sans moto;1 VL;Sans poids lourd;Adulte (35-49);2 usagers
Leger;02/06/2010;05:50;Gennevilliers;Plein jour;Autre;Hors intersection;Autoroute;Collision par l'arriere;VU seul 1,5T <= PTAC <= 3,5T;Changeant de file A'auche;PL seul 3,5T <PTCA <= 7,5T;28;Masculin;Blessee Leger;Non renseignee ;2;2;0;0;1;1;Adulte jeune (25-34);Sans pieton;Sans moto;1 VL;Avec poids lourd;Adulte jeune (25-34);2 usagers
Leger;11/06/2010;14:30;Non renseignee nterre;Plein jour;Autre;Hors intersection;Voie commuNon renseignee le;Autre collision;VU seul 1,5T <= PTAC <= 3,5T;Sans changement de direction;Non renseignee ;38;Masculin;Indemne;Non renseignee ;2;1;1;0;1;0;Adulte (35-49);Avec pieton;Sans moto;1 VL;Sans poids lourd;Adulte (35-49);2 usagers
Leger;12/09/2010;06:00;Clamart;Nuit sanseclairage public;Autre;Intersection en Y;Autoroute;Sans collision;VL seul;S inserant;Non renseignee ;40;Masculin;Blessee Leger;Non renseignee ;1;1;0;0;1;0;Adulte (35-49);Sans pieton;Sans moto;1 VL;Sans poids lourd;Adulte (35-49);1 usager
Grave;21/09/2010;08:50;Levallois-Perret;Plein jour;Autre;Intersection en X;Route departementale;Collision par le cote;VL seul;Changeant de file A$roite;Scooter > 125 cm3;31;Masculin;Indemne;Non renseignee ;2;2;0;1;1;0;Adulte jeune (25-34);Sans pieton;Avec moto;1 VL;Sans poids lourd;Adulte jeune (25-34);2 usagers
Leger;22/09/2010;18:25;Clichy;Plein jour;Autre;Intersection en X;Route departementale;Autre collision;VL seul;Sans changement de direction;Non renseignee ;73;Feminin;Indemne;Non renseignee ;2;1;1;0;1;0;Senior (65+);Avec pieton;Sans moto;1 VL;Sans poids lourd;Senior (65+);2 usagers
Leger;24/09/2010;16:45;Gennevilliers;Plein jour;Pluie legere;Hors intersection;Voie commuNon renseignee le;Autre collision;VL seul;Sans changement de direction;Non renseignee ;65;Masculin;Indemne;Non renseignee ;2;1;1;0;1;0;Senior (65+);Avec pieton;Sans moto;1 VL;Sans poids lourd;Senior (65+);2 usagers
Grave;28/09/2010;16:40;Bois-Colombes;Plein jour;Autre;Intersection en T;Route departementale;Autre collision;Motocyclette > 125 cm3;TourNon renseignee nt A'auche;Non renseignee ;43;Masculin;Indemne;Non renseignee ;2;1;1;1;0;0;Adulte (35-49);Avec pieton;Avec moto;Aucun VL;Sans poids lourd;Adulte (35-49);2 usagers
Leger;05/10/2010;17:30;Issy-les-Moulineaux;Plein jour;Pluie legere;Hors intersection;Route departementale;Autre collision;VL seul;Non renseignee ;Non renseignee ;24;Masculin;Indemne;Non renseignee ;2;1;1;0;1;0;Jeune adulte (18-24);Avec pieton;Sans moto;1 VL;Sans poids lourd;Jeune adulte (18-24);2 usagers
Leger;08/10/2010;11:40;Boulogne-Billancourt;Plein jour;Autre;Intersection en Y;Voie commuNon renseignee le;Collision par le cote;Scooter > 50 cm3 et <= 125 cm3;Non renseignee ;VL seul;52;Masculin;Blessee Leger;Non renseignee ;2;2;0;1;1;0;Senior actif (50-64);Sans pieton;Avec moto;1 VL;Sans poids lourd;Senior actif (50-64);2 usagers
Leger;08/10/2010;12:20;Neuilly-sur-Seine;Plein jour;Autre;Hors intersection;Route Non renseignee tioNon renseignee le;Collision par l'arriere;Scooter < 50 cm3;Meme sens, Meme file;PL seul 3,5T <PTCA <= 7,5T;19;Masculin;Blessee Leger;Non renseignee ;1;2;0;0;0;1;Jeune adulte (18-24);Sans pieton;Sans moto;Aucun VL;Avec poids lourd;Jeune adulte (18-24);1 usager
Leger;19/11/2010;13:10;Non renseignee nterre;Plein jour;Autre;Intersection en X;Voie commuNon renseignee le;Autre collision;VL seul;TourNon renseignee nt A'auche;Non renseignee ;83;Feminin;Indemne;Non renseignee ;2;1;1;0;1;0;Senior (65+);Avec pieton;Sans moto;1 VL;Sans poids lourd;Senior (65+);2 usagers
Leger;07/12/2010;09:55;Montrouge;Plein jour;Autre;Giratoire;Route departementale;Collision par le cote;VU seul 1,5T <= PTAC <= 3,5T;TourNon renseignee nt A$roite;Motocyclette > 125 cm3;26;Masculin;Blessee Leger;Non renseignee ;2;2;0;1;1;0;Adulte jeune (25-34);Sans pieton ;Avec moto;1 VL;Sans poids lourd;Adulte jeune (25-34);2 usagers
Leger;17/12/2010;14:35;Boulogne-Billancourt;Plein jour;Autre;Hors intersection;Voie commuNon renseignee le;Collision par le cote;Scooter < 50 cm3;Sans changement de direction;VU seul 1,5T <= PTAC <= 3,5T;30;Masculin;Blessee Leger;Non renseignee ;2;2;0;0;1;0;Adulte jeune (25-34);Sans pieton;Sans moto;1 VL;Sans poids lourd;Adulte jeune (25-34);2 usagers
