type_acci;date;heure;commune;luminosite_accident;cond_atmos;Intersection;categorie_route;type_collision;type_vehicule_1;manoeuvre_vehicule_1;type_vehicule_2;age_usager;sexe_usager;gravite_usager;etat_usager;nombre_usagers;nb_veh;nombre_pietons;nombre_motos;nombre_vl;nombre_pl;age_usa1_categ;accident_pieton;accident_moto;categorie_vl;accident_pl;categorie_age;categorie_usagers
Leger;13/01/2013;14:25;Suresnes;Plein jour;Autre;Intersection à plus de 4 branches;Route departementale;Autre collision;Scooter > 50 cm3 et <= 125 cm3;Sans changement de direction;Non renseignee ;22;Masculin;Indemne;Non renseignee ;2;1;1;1;0;0;Jeune adulte (18-24);Avec pieton;Avec moto;Aucun VL;Sans poids lourd;Jeune adulte (18-24);2 usagers
Leger;25/02/2013;20:50;Suresnes;Nuit avec eclairage public allumee;Autre;Intersection en X;Voie commuNon renseignee le;Autre collision;VU seul 1,5T <= PTAC <= 3,5T;TourNon renseignee nt A$roite;Non renseignee ;26;Masculin;Indemne;Non renseignee ;2;1;1;0;1;0;Adulte jeune (25-34);Avec pieton;Sans moto;1 VL;Sans poids lourd;Adulte jeune (25-34);2 usagers
Leger;23/03/2013;15:20;Suresnes;Plein jour;Autre;Intersection en T;Route departementale;Collision par l'arriere;VL seul;TourNon renseignee nt A'auche;Motocyclette > 125 cm3;63;Feminin;Indemne;Non renseignee ;5;2;0;1;1;0;Senior actif (50-64);Sans pieton ;Avec moto;1 VL;Sans poids lourd;Senior actif (50-64);3-5 usagers
Leger;17/09/2013;08:45;Suresnes;Plein jour;Pluie legere;Hors intersection;Route departementale;Sans collision;Scooter < 50 cm3;Sans changement de direction;Non renseignee ;58;Feminin;Blessee Leger;Non renseignee ;1;1;0;0;0;0;Senior actif (50-64);Sans pieton;Sans moto;Aucun VL;Sans poids lourd;Senior actif (50-64);1 usager
Leger;10/11/2013;21:45;Suresnes;Nuit avec eclairage public allumee;Autre;Hors intersection;Route departementale;Collision par le cote;Scooter < 50 cm3;Non renseignee ;VL seul;17;Masculin;Blessee Leger;Non renseignee ;3;2;0;0;1;0;Mineur (-18 ans);Sans pieton;Sans moto;1 VL;Sans poids lourd;Mineur (-18 ans);3-5 usagers
Leger;08/03/2013;05:00;Malakoff;Nuit avec eclairage public allumee;Pluie legere;Hors intersection;Voie commuNon renseignee le;Sans collision;VL seul;Se deportant A$roite;Non renseignee ;17;Masculin;Blessee Leger;Non renseignee ;2;1;0;0;1;0;Mineur (-18 ans);Sans pieton ;Sans moto;1 VL;Sans poids lourd;Mineur (-18 ans);2 usagers
Leger;16/05/2013;15:35;Malakoff;Plein jour;Pluie legere;Intersection en T;Voie commuNon renseignee le;Sans collision;Bicyclette;A contresens;Non renseignee ;53;Masculin;Blessee Leger;Non renseignee ;1;1;0;0;0;0;Senior actif (50-64);Sans pieton;Sans moto;Aucun VL;Sans poids lourd;Senior actif (50-64);1 usager
Leger;02/07/2013;11:15;Courbevoie;Plein jour;Autre;Intersection en X;Route Non renseignee tioNon renseignee le;Collision par le cote;VU seul 1,5T <= PTAC <= 3,5T;TourNon renseignee nt A'auche;Scooter > 50 cm3 et <= 125 cm3;40;Feminin;Indemne;Non renseignee ;2;2;0;1;1;0;Adulte (35-49);Sans pieton ;Avec moto;1 VL;Sans poids lourd;Adulte (35-49);2 usagers
Leger;02/09/2013;20:40;Cachan;Nuit avec eclairage public allumee;Autre;Hors intersection;Route departementale;Collision par l'arriere;Scooter < 50 cm3;Meme sens, Meme file;VL seul;32;Feminin;Blessee Leger;Non renseignee ;1;2;0;0;1;0;Adulte jeune (25-34);Sans pieton;Sans moto;1 VL;Sans poids lourd;Adulte jeune (25-34);1 usager
Grave;27/09/2013;15:45;Arcueil;Plein jour;Autre;Hors intersection;Route departementale;Collision par le cote;VL seul;TourNon renseignee nt A$roite;Motocyclette > 50 cm3 et <= 125 cm3;39;Masculin;Indemne;Non renseignee ;2;2;0;1;1;0;Adulte (35-49);Sans pieton ;Avec moto;1 VL;Sans poids lourd;Adulte (35-49);2 usagers
